,name,price,marque,modele,Transmission,Carburant,Annee,Kilométrage
74,Isuzu D-Max,83 000 ,Isuzu,,Manuelle,Essence,2014,140000
75,Suzuki celerio,26 000 ,Suzuki , Autres,Manuelle,Essence,2017,90000
76,Vw Golf allstar,66 000 ,Volkswagen,,Manuelle,Essence,2017,80000
77,Chery QQ 5 CV,21 000 ,Chery , QQ,Manuelle,Essence,2016,67000
78,A VENDRE FIAT PUNTO,17 000 ,Fiat , Punto,,Essence,2007,180
79,Ford fiesta en bon état,12 500 ,Ford , Fiesta,,5 CV,244,Essence
80,Daewoo lanos,7 000 ,Daewoo , Lanos,,Essence,1999,300000
81,C4 cactus tres bon état,125 000 ,Citroen , C4,,Contacter l'annonceur,,Garas
82,Renault Fluence Très bon état,36 500 ,Renault , Fluence,,,147000,Manuelle
83,Iveco zeta otoyol 65-9,26 000 ,Iveco,,Manuelle,Diesel,2002,1
84,a vendre camion renault,24 000 ,Renault,,,Diesel,1988,1
85,New KIA RIO,37 500 ,Kia , Rio,Hmimich,Bleu,Essence,4 CV
86,a vendre,22 000 ,Kia , Picanto,,Essence,2011,185000
87,Polo 6,19 200 ,Volkswagen,,Manuelle,Essence,2006,255000
88,C5 HDI,28 500 ,Citroen , C5,Manuelle,Diesel,2009,145000
89,Alfa romeo Guiliette,46 000 ,Alfa Romeo,,Manuelle,Essence,2016,90000
90,volkswagen Jetta 2016,55 000 ,Volkswagen , Jetta,Automatique,Essence,2016,134000
91,Dacia Sandero GPL et Essence tte options,20 800 ,Dacia,,Manuelle,Essence,2010,174000
92,vente de voiture volkswagen Tiguan,26 000 ,Volkswagen , Tiguan,,5 CV,204000,Diesel
93,vente chevrolet cruze,25 000 ,Chevrolet , Cruze,Manuelle,Essence,2014,186000
94,Peugeot 2008 Toutes options,125 000 ,Peugeot,,Manuelle,Essence,2018,106000
95,Clio classic à vendre,125 000 ,Renault,,Contacter l'annonceur,Manuelle,5 CV,Noir
96,vente de voiture volskwagen Multivan,15 312 ,Volkswagen , T4 Multivan,Manuelle,Diesel,2006,284000
97,Volkswagen Passat TDI 1.6L Comfortline Bluemotion,125 000 ,Volkswagen , Passat,Contacter l'annonceur,Manuelle,2014,160000
98,Tiggo 2,125 000 ,Chery , Tiggo,Contacter l'annonceur,6 CV,18000,Diesel
99,volkswagen touran,10 000 ,Volkswagen , Touran,Manuelle,Diesel,2010,241500
100,ISUZU TROOPER 4*4 DIESEL,125 000 ,Isuzu , Trooper,,,Diesel,Manuelle
101,Isuzu D-max,37 000 ,Isuzu , D-Max,,10 CV,237000,Diesel
102,Modus à vendre,17 000 ,Renault , Modus,,5 CV,164,Diesel
103,je vends ma ford focus,11 000 ,Ford , Focus,Automatique,Essence,2012,131499
104,KIA PICANTO GT-LINE,37 500 ,Kia , Picanto,Manuelle,Essence,2018,45000
105,ISUZU 4*4 TROOPER,125 000 ,Isuzu , Trooper,KMLSOL,9 CV,1992,Diesel
106,Location de voiture,70 ,Toyota,,,,Hasan17,Contacter l'annonceur
107,vente de voiture Nissan leaf,14 000 ,Nissan , Leaf,Automatique,Electrique,2012,115000
108,Golf 6 impeccable,33 000 ,Volkswagen , Golf,Manuelle,Essence,2011,152000
109,vente de voiture volskwagen,125 000 ,Volkswagen , Golf,Manuelle,Essence,2015,131499
110,vente de voiture Nissan,15 000 ,Nissan,,Automatique,Electrique,2012,11000
111,Mercedes C 200 AMG Line ( W204),60 000 ,Mercedes-Benz,,,11 CV,107000,Essence
112,DACIA DOKKER VAN serie 219,38 500 ,Dacia , Dokker,Manuelle,Diesel,2021,10400
113,vente de voiture citroen c3,19 677 ,Citroen , C3,Manuelle,Diesel,2013,49000
114,Belle fiat palio,12 200 ,Fiat,,,,Noir,Manuelle
115,FIAT 500,28 500 ,Fiat , 500,Manuelle,Essence,2011,162000
116,La prestigieuse ROVER,11 800 ,Rover , 75,Manuelle,Essence,2000,300
117,Audi tt collection,35 000 ,Audi , TT,Manuelle,Essence,2002,125
118,Renaut sombol Année mai2011,19 ,Renault , Symbol,Contacter l'annonceur,Diesel,2011,20000
119,2015 Toyota Land Cruiser DC 4×4 Pick-up,"28,397 ",Toyota,,,Diesel,2016,25000
120,Toyota Aygo,30 500 ,Toyota , Aygo,Manuelle,Essence,2017,47000
121,vente peugeot 307,19 000 ,Peugeot , 307,Manuelle,Essence,2006,363000
122,FIAT Très bon état,30 500 ,Fiat,,dali331,Essence,2018,82000
123,voiture,17 900 ,Ford,,,5 CV,80000,Essence
124,Peugeot partner,10 500 ,Peugeot , Partner,Contacter l'annonceur,Manuelle,6 CV,Blanc
125,Great wall M4,"39,500 ",Autres,,,Essence,2017,49000
126,C5 à vendre,28 000 ,Citroen , C5,Manuelle,Diesel,2009,280000
127,Ibiza style 1.2,29 000 ,Seat , Ibiza,Manuelle,Essence,2015,165
128,Toyota CHR,84 000 ,Toyota , Autres,,6 CV,16000,Essence
129,PEUGEOT 4007,40 000 ,Peugeot,,Manuelle,Diesel,2008,1200
130,kia piacanto année 2017 // 35000 km,30 500 ,Kia , Picanto,Manuelle,Essence,2017,35000
131,Chevrolet sonic en excellent état,26 000 ,Chevrolet , Aveo,Manuelle,Essence,2017,112000
132,C3,27 000 ,Citroen,,,5 CV,140,Essence
133,Fiat Punto en bon état,125 000 ,Fiat , Punto,Contacter l'annonceur,Manuelle,4 CV,Gris
134,golf 5,125 000 ,Volkswagen,,,6 CV,249000,Diesel
135,Vente ou échange mercades classe b,125 000 ,Mercedes-Benz , B 180,,,Essence,Manuelle
136,PEUGEOT EXPERT 3,22 500 ,2009,,Contacter l'annonceur,BLANCHE,Diesel,7 CV
137,PEUGEOT EXPERT 3,22 500 ,Peugeot , Expert,,7 CV,270000,Diesel
138,Megane 3,31 000 ,Renault,,,Diesel,2013,300000
139,À vendre Peugeot 2008,45 500 ,Peugeot,,Manuelle,Essence,2016,125000
140,voiture C-Elysee,25 300 ,Citroen,,,Manuelle,77800,noir
141,vente,15 000 ,Renault , Megane,,Diesel,2005,111
142,A vendre peugeot 207,23 000 ,Peugeot,,Hichem1982,Gris,166000,Essence
143,Citroën berlingo diesel,35 000 ,Citroen , Berlingo,Manuelle,Diesel,2014,70000
144,Renault 9,6 ,Renault,,Mekni Tarek,gris,Essence,6 CV
145,BMW serie 1 116i,125 000 ,BMW,,Manuelle,Essence,2009,187000
146,OPEL ASTRA G,125 000 ,Opel , Astra,,haroun55,Manuelle,
147,CITROEN BERLINGO,125 000 ,Citroen , Berlingo,,Hafedh01,Manuelle,
148,Golf 2 mazout,125 000 ,Volkswagen , Golf,,,Golf 21,Contacter l'annonceur
149,golf 2 4 CV Diesel très bonne état,8 800 ,Volkswagen , Golf,Manuelle,Diesel,1991,350000
150,A ventre Voiture de dame,29 000 ,Peugeot,,,Essence,2009,233000
151,hyundai i 20 a ne pas rater,38 500 ,Hyundai,,Manuelle,Essence,2019,45000
152,Fiat Evo Blue,24 500 ,Fiat,,,4 CV,147000,Essence
153,Vente de voiture,18 000 ,Peugeot,,,Diesel,2008,230000
154,Voiture de dame,29 500 ,Peugeot , Partner,Gouddi Naouel,Gris métallisé,235000,Essence
155,211 Tunis 7058,125 000 ,Peugeot , 208,,Jaber marweni,Manuelle,
156,NE PAS RATER,125 000 ,Citroen , C3,Issam wesleti,Essence,2014,289000
157,clio classique,22 000 ,Renault,,jilani29,5 CV,168000,Essence
158,peugeot 205,7 500 ,Peugeot , 205,Contacter l'annonceur,Manuelle,4 CV,Gris
159,AV C4,125 000 ,Citroen , C4,,,Sendo,Contacter l'annonceur
160,belle smart forfour a vendre,35 000 ,Smart , ForFour,,4 CV,80000,Essence
161,206 bon état,13 800 ,Peugeot,,Manuelle,Essence,2002,291000
162,Passat a vendre,16 500 ,Volkswagen , Passat,Manuelle,Diesel,1999,329069
163,Une voiture à vendre,32 000 ,Peugeot,,Manuelle,Essence,2014,116000
164,Seat Leon 1.2 TSI excellent état,45 000 ,Seat , Leon,Manuelle,Essence,2016,97500
165,VW Passat,125 000 ,Volkswagen , Passat,,Manuelle,187000,8 CV
166,Fiat Grande punto 2013 - Auto usate,21 500 ,Fiat , Grande Punto,Manuelle,Essence,2013,135000
167,X5 4.4i,125 000 ,BMW,,Automatique,Essence,2000,230000
168,Audi A4,22 500 ,Audi , A4,Manuelle,Diesel,2007,200000
169,AV POLO3,125 000 ,Volkswagen , Polo,,Contacter l'annonceur,,Sofiane 51
170,Golf 6 style,43 000 ,Volkswagen,,Manuelle,Diesel,2012,194000
171,208 peugeot,125 000 ,Peugeot , 208,,,noire,Manuelle
172,a vendre opel corsa swing,11 800 ,Opel , Corsa,Manuelle,Essence,1995,450000
173,Chevrolet AVEO 2017,23 500 ,Chevrolet , Aveo,,Essence,2019,180000
174,fiat fiorino tout options fin 2016 tel: 24 5000 78,250 000 ,Fiat,,,5 CV,132000,Diesel
175,Passat TDI B8,41 000 ,Volkswagen,,Manuelle,Diesel,2011,260
176,B5 A TDI,15 600 ,Volkswagen,,Manuelle,Diesel,1999,400
177,ford fiesta ecoboost,125 000 ,Ford , Fiesta,ben nasr yosr,gris,Essence,5 CV
178,Chevrolet,16 800 ,Chevrolet,,Manuelle,Essence,2005,221000
179,C elysee,23 500 ,Citroen,,Manuelle,Essence,2015,168000
180,Marcedes,125 000 ,Mercedes-Benz , C 220,Contacter l'annonceur,Manuelle,8 CV,Noir
181,jeep v8 essence,125 000 ,Jeep , Grand Cherokee,Contacter l'annonceur,Manuelle,1999,16 CV et +
182,Citroën c élysée,125 000 ,Citroen,,Contacter l'annonceur,Manuelle,130000,Essence
183,voiture à vendre,13 500 ,Peugeot,,,Contacter l'annonceur,,Med Ali 172
184,très belle renault fluence,125 000 ,Renault , Fluence,Manuelle,Diesel,2015,165000
185,kia rio sedan 2016,38 000 ,Kia , Rio,Manuelle,Essence,2016,136
186,Merceds Classe S 350,90 000 ,Mercedes-Benz , 350,Automatique,Essence,2009,172000
187,E200 avant garde,12 014 ,Mercedes-Benz , E 200,Manuelle,Essence,2001,121000
188,Ssongyong korendo,31 000 ,Ssangyong , Korando,Manuelle,Diesel,2011,170000
189,TOYOTA HILUX,125 000 ,Toyota , Hilux,Manuelle,Diesel,2013,400000
190,Ranault Mégane à vendre,125 000 ,Renault , Megane,,6 CV,170000,Diesel
191,Vente Audi A4,111 ,Audi,,Manuelle,Essence,2002,200000
192,Vente,125 000 ,Ford , Focus,Manuelle,Essence,2007,187000
193,Deux fords courrier diesel.95442914,5 000 ,Ford,,Manuelle,Diesel,1995,350000
194,LNA,800 ,Citroen,,,Mohamed2410,Manuelle,
195,Fluence en bon état,35 000 ,Renault , Fluence,Manuelle,Essence,2013,135700
196,Astra F Turbo diesel,950 000 ,Opel,,Manuelle,Diesel,2019,280000
197,Mercedes,16 500 ,Mercedes-Benz,,,,WajdiSaidi40,Contacter l'annonceur
198,BELLE KIA CERATO,45 000 ,Kia , Cerato,Contacter l'annonceur,Automatique,Essence,BLANC
199,Chevrolet cruze LT noir diamant,53 000 ,Chevrolet , Cruze,,7 CV,43000,Essence
200,remorque,3 500 ,Acura,,,4 CV,12555,Diesel
201,VENTE FIAT EVO,23 500 ,Fiat , Punto Evo,Manuelle,Essence,2010,157000
202,SUZUKI CIAZ DE MEDECIN,35 000 ,Suzuki , Autres,,Essence,2017,135000
203,golf 5,27 000 ,Volkswagen,,,6 CV,192000,Essence
204,Mercedes a180 première mains,60 000 ,Mercedes-Benz,,Manuelle,Essence,2014,17000
205,SUZUKI CELERIO,30 000 ,Suzuki,,Manuelle,Essence,2021,500
206,peugeot 205 junior,5 000 ,Peugeot,,Contacter l'annonceur,Manuelle,Essence,rouge
207,Mégane,30 000 ,Renault,,Dali1234,5 CV,2012,Diesel
208,BELLE DS 5 AVENDRE,49 000 ,Citroen , DS5,Automatique,Diesel,2012,192000
209,Clio Bombé 2001,12 500 ,Renault,,Manuelle,Essence,2001,316000
210,C3 A VENDRE,15 000 ,Citroen,,Thouraya31,4 CV,45500,Diesel
211,Isuzu dmax Ls 2015,125 000 ,Isuzu , D-Max,,Diesel,2015,115
212,Fiat uno fire,13 300 ,Fiat,,Manuelle,Essence,2005,187000
213,vente voiture,125 000 ,Kia , Picanto,,moncef158,Manuelle,
214,Haval h6 premiere main etat neuf,125 000 ,Acura,,Contacter l'annonceur,Manuelle,2018,40000
215,Golf 7 TSI,63 000 ,Coupé,,kais.j,6 CV,74000,Essence
216,av,22 000 ,Kia , Picanto,Manuelle,Essence,2011,170000
217,Symbol Première main,29 500 ,Renault , Symbol,Manuelle,Essence,2015,55117
218,Polo 7,24 000 ,Volkswagen,,,Essence,2010,161000
219,Modus à vendre,18 000 ,Renault , Modus,omar417,gris,Diesel,5 CV
220,c 180 w205 kit amg,126 000 ,Mercedes-Benz , C 180,Automatique,Essence,2016,136
221,Clio chipe,7 400 ,Renault , Clio,,6 CV,300,Diesel
222,a vendre fiat grand punto evo,23 000 ,Fiat , Grande Punto,Manuelle,Essence,2012,173000
223,Ford Fiesta,125 000 ,Ford , Fiesta,Manuelle,Essence,2005,2005
224,vente POLO 6,19 800 ,Volkswagen , Polo,,5 CV,70000,Essence
225,Borra 1.6,17 500 ,Volkswagen , Bora,,Essence,2000,367
226,Volkswagen Caddy,16 500 ,Volkswagen , Caddy,,8 CV,210,Diesel
227,A vendre 206 sedan,"15,400 ",Peugeot,,Manuelle,Essence,2007,280000
228,Opel corsa swing,10 500 ,Opel , Corsa,Manuelle,Essence,1994,260000
229,Jetta 2,3 000 ,Volkswagen,,,4 CV,300,Diesel
230,seat leon coupé,39 000 ,Seat , Leon,Manuelle,Essence,2016,190
231,Skoda Fabia 2018,39 000 ,Skoda,,,5 CV,71000,Essence
232,belle occasion,35 500 ,Hyundai , i10,Manuelle,Essence,2016,60200
233,a vendre polo 3,125 000 ,Volkswagen , Polo,Manuelle,Essence,1997,300
234,Audi a3,25 ,Audi,,Manuelle,Diesel,2003,250
235,Voiture AX 10,6 200 ,Citroen , AX,,,1992,Manuelle
236,KIA RIO,125 000 ,Kia , Rio,,besma ben jeddou,Manuelle,
237,Seat Leon 3,125 000 ,Seat , Leon,,tarekbouzoffara,88266,Manuelle
238,VOITURE Super5,125 000 ,Renault , R 5,,MED Baghouli,Manuelle,
239,Isuzu super faster,18 500 ,Isuzu,,Manuelle,Diesel,2002,300000
240,Golf 7,40 500 ,Volkswagen,,Manuelle,Essence,2016,20000
241,Mercedes B180,49 000 ,Mercedes-Benz,,,Essence,2014,200
242,Golf 7 Ocassion ndhifa,42 500 ,Volkswagen,,Manuelle,Essence,2018,66
243,A vendre Hyundai galloper 4*4,16 300 ,Hyundai,,Manuelle,Diesel,2001,250000
244,Partner 1.9,11 200 ,Peugeot , Partner,Contacter l'annonceur,Manuelle,7 CV,vert
245,"Symbol 1ere main, bonne état",28 000 ,Renault , Symbol,Manuelle,Essence,2016,140000
246,Médecin vends Ford Focus 99000 km,45 900 ,Ford,,,Essence,2016,99000
247,Mini cooper,32 000 ,MINI,,Manuelle,Essence,2009,121000
248,Mercedes 250 D,23 000 ,Mercedes-Benz , 250,,8 CV,300000,Diesel
249,Golfe 7,58 000 ,Volkswagen,,,Essence,2014,90000
250,a ne pas raté,125 000 ,Renault , Megane,Manuelle,Essence,2006,170000
251,polo 5,16 000 ,Volkswagen , Polo,fraj35,Essence,2002,207000
252,camion isuzu 2005 (95783711),28 000 ,Isuzu,,Manuelle,Diesel,2005,600000
253,Golf 6,36 500 ,Volkswagen,,,5 CV,190,Essence
254,Polo 3,12 000 ,Volkswagen,,Oussama 275,5 CV,300000,Essence
255,AV 206 +,125 000 ,Peugeot , 206,,Contacter l'annonceur,Manuelle,BEN KHELIL HOUDA
256,A V Mercedes Benz 4 phares Elegance E200 Kompressor en bon état,18 000 ,Mercedes-Benz,,,9 CV,2000,Essence
257,KIA Cerato modèle 2010,26 000 000 ,Kia , Cerato,Manuelle,Essence,2010,200
258,Jetta 3,26 000 000 ,Volkswagen,,Manuelle,Diesel,2010,213000
259,Jetta 3,26 000 000 ,Volkswagen,,Manuelle,Diesel,2010,213000
260,KIA Cerato modèle 2010,26 000 000 ,Kia,,Manuelle,Essence,2010,200
261,fiat sienna,"16,500 ",Fiat,,,,noire,Manuelle
262,Location voiture prestigieuse pour mariage de la marque MG ZS kilométrage 40 milles,350 ,MG , ZS,Sou71290,Noir,2020,40000
263,Golf 6,29 000 ,Volkswagen , Golf,,5 CV,220000,Diesel
264,Mitsubishi l200,27 000 ,Mitsubishi,,Manuelle,Diesel,2011,385140
265,Clio clasique,125 000 ,Renault , Clio,Ramzi318,Essence,2006,230000
266,Chevrolet Cruze (20 000 Km),125 000 ,Chevrolet , Cruze,,Brahimantri,Manuelle,
267,Polo 3,125 000 ,Volkswagen , Polo,,Contacter l'annonceur,Manuelle,Mohamed2393
268,polo 5,15 000 ,Volkswagen , Polo,,4 CV,232000,Essence
269,belle polo,"12,500 ",Volkswagen,,Contacter l'annonceur,Manuelle,Essence,blanc
270,Tiggo 2,45 ,Chery,,Manuelle,Essence,2019,42000
271,partner trés propre bon état,16 ,Peugeot,,rafiaa1,blanc,300,Diesel
272,C3,21 500 ,Citroen , C3,steftn,Noir,136000,Essence
273,C Élisée tt option,21 000 ,Citroen,,Manuelle,Essence,2013,147000
274,106 en bon état,8 700 ,Peugeot,,Manuelle,Essence,2000,280000
275,Seat Leon,42 000 ,Seat,,Manuelle,Essence,2015,136000
276,Golf 7 première main,52 000 ,Volkswagen,,Manuelle,Essence,2014,80000
277,mercedes classe C220 pack AMG en bon état,43 000 ,Mercedes-Benz,,Automatique,Diesel,2009,297000
278,Peugeot 206,15 ,Peugeot , 206,Manuelle,Essence,2007,300000
279,AX 4 PORTES ESSENCE,3 500 ,Citroen,,Manuelle,Essence,1989,414868
280,Peugeot 106,"11,500 ",Peugeot,,,Ichrak15,Manuelle,
281,a vendre,39 000 ,Chevrolet , Cruze,,7 CV,65600,Essence
282,Vend OPEL Frantera,28 500 ,Opel , Frontera,,,160000,Manuelle
283,Peugeot 106 forsa,125 000 ,Peugeot , 106,K,4 CV,140000,Essence
284,KIA PICANTO,20 500 ,Kia , Picanto,Manuelle,Essence,2010,177600
285,Dacia Dokker 2019,34 000 ,Dacia , Dokker,Manuelle,Diesel,2019,70000
286,sandero stepway importer,30 500 ,Dacia,,Manuelle,Essence,2014,116000
287,CITROEN C4,19 500 ,Citroen,,Manuelle,Essence,2009,260000
288,OPEL CORSA bon état,58 158 379 ,Opel , Corsa,,,1998,Manuelle
289,peugeot partenaire Bizerte,125 000 ,Peugeot , Partner,,bigbos945,Manuelle,
290,Opel corsa D,125 000 ,Opel , Corsa,,,Essence,Manuelle
291,Ssangyong Actyon 4*4,30 000 ,Ssangyong,,Contacter l'annonceur,Manuelle,Diesel,BLEU
292,C220 CDI,45 000 ,Mercedes-Benz , 220,Automatique,Diesel,2009,333000
293,A vendre Fiat siena climatisé en Bon état Tel 97185158,125 000 ,Fiat,,Manuelle,Essence,2004,320000
294,Caddy Prestige,37 000 ,Volkswagen , Caddy,Contacter l'annonceur,Manuelle,140000,gris
295,OPEL Kadett,7 000 ,Opel , Kadett,Manuelle,Essence,1992,45303
296,renault clio,"17,500 ",Renault , Clio,rafiaa1,gris charbon,200,Essence
297,Chery arrizo 5 tres bon état,39 000 ,Chery,,Manuelle,Essence,2019,125000
298,Polo 5 Gris Métallisé,14 500 ,Volkswagen,,,4 CV,295000,Essence
299,Ford fiesta mk3,6 700 ,Ford,,,5 CV,1997,Essence
300,mercedes classe C pack AMG en bon état,43 000 ,Mercedes-Benz,,,10 CV,297000,Diesel
301,Clio 4 TCe 90 Zen,45 000 ,Renault,,Manuelle,Essence,2020,19000
302,mercedes a vendre,110 000 ,Mercedes-Benz , E 220,Automatique,Diesel,2021,35000
303,Dacia dokker,38 000 ,Dacia , Dokker,Manuelle,Diesel,2020,10000
304,Dacia LOGAN MCV première main,34 500 ,Break,,BLEYDA83,5 CV,67000,Essence
305,A vendre 206+ PRIX 23500 DT,23 500 ,Peugeot , 206,,,194000,Manuelle
306,Fiat Punto grande,19 000 ,Fiat,,Manuelle,Essence,2011,200000
307,Ford Fiesta Titanium Ecoboost 100ch,35 300 ,Ford,,Manuelle,Essence,2017,120000
308,OPEL CORSA1.2,13 900 ,Opel,,Manuelle,Essence,2002,270000
309,Renault Clio diesel 1.5 dci,14 800 ,Renault , Clio,,,300000,Manuelle
310,vente clio classique,19 500 ,Renault,,Manuelle,Essence,2008,250000
311,Mercedes 190d,3 ,Mercedes-Benz,,Manuelle,Diesel,1984,1111111
312,E60,125 000 ,BMW , 520,,Contacter l'annonceur,,yasssjm
313,A vendre,12 000 ,Renault , Clio,,4 CV,300000,Essence
314,A vendre,18 ,Volkswagen , Polo,Safia jeridi,4 CV,2004,Essence
315,PEUGEOT 308 A VENDRE,26 500 ,Peugeot , 308,Contacter l'annonceur,Manuelle,2013,154000
316,CLIO CAMPUS,125 000 ,Renault , Clio,Contacter l'annonceur,Manuelle,2011,Gaz
317,A Vendre : Seat Ibiza,34 000 ,Seat , Ibiza,,4 CV,169,Essence
318,renault 9,4 100 ,Renault , R 9,Manuelle,Essence,1987,530000
319,Renault,27 000 ,Renault , Symbol,Manuelle,Essence,2015,27000
320,GOLF 6,33 500 ,Volkswagen , Golf,Manuelle,Essence,2010,235000
321,Duster 45000dinars,45 000 ,Dacia , Duster,Contacter l'annonceur,Manuelle,112000,Essence
